line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
67,Ross,God save the King.,1,2,2,"Act 1, Scene 2",0.0,0.274,0.726,0.6486,pos,0.18583333333333332,0.42449999999999993,,0.42068195999999997,0.11419838666666667,1,0,0.33333333333333337,0.12719523809523808,0.022787878787878774,0.36781871893638035
68,Duncan,"Whence cam’st thou, worthy thane?",1,2,2,"Act 1, Scene 2",0.0,0.58,0.42,0.4404,pos,0.11366363636363634,0.4747,0.5537259592975573,0.19395216,0.05971852454545454,1,0,0.2727272727272727,0.04655411255411253,-0.04938181818181818,
69,Ross,"From Fife, great king,",1,2,2,"Act 1, Scene 2",0.0,0.423,0.577,0.6249,pos,0.053142857142857124,0.397925,,0.39050001,0.01902018857142857,1,0,0.14285714285714285,-0.01396666666666669,-0.002320779220779251,0.3049896104787833
70,Ross,Where the Norweyan banners flout the sky,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.046499999999999986,0.41368,,0.0,0.016642665,0,0,0.125,-0.06789047619047624,-0.008963636363636389,0.4719722184620616
71,Ross,And fan our people cold.,1,2,2,"Act 1, Scene 2",0.0,0.635,0.365,0.3182,pos,0.018855555555555542,0.28396,,0.10125123999999999,0.010246225555555556,1,0,0.0,-0.07942063492063496,-0.018217171717171736,0.4109404908256182
72,Ross,"Norway himself, with terrible numbers,",1,2,2,"Act 1, Scene 2",0.437,0.563,0.0,-0.4767,neg,-0.012630000000000011,0.30758,,-0.22724289,0.0004600030000000019,0,1,-0.10000000000000003,-0.08738714285714289,-0.04118454545454547,0.4236751939870919
73,Ross,"Assisted by that most disloyal traitor,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.0046909090909090815,0.30758,,0.0,0.0032953127272727293,0,0,0.0,-0.07006623376623379,0.01892727272727271,0.4236751939870919
74,Ross,"The Thane of Cawdor, began a dismal conflict,",1,2,2,"Act 1, Scene 2",0.512,0.488,0.0,-0.743,neg,-0.05427272727272728,0.2844,,-0.552049,-0.034948501818181814,0,1,-0.09090909090909094,-0.10805844155844158,-6.938893903907228e-18,0.32241292622970313
75,Ross,"Till that Bellona’s bridegroom, lapped in proof,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.1110818181818182,0.24825999999999998,,0.0,-0.07044850272727272,0,0,-0.18181818181818182,-0.1648675324675325,-0.07634545454545456,0.3051332299176869
76,Ross,"Confronted him with self-comparisons,",1,2,2,"Act 1, Scene 2",0.375,0.625,0.0,-0.2023,neg,-0.1110818181818182,0.28384,,-0.04092529,-0.07044850272727272,0,1,-0.18181818181818182,-0.13632467532467535,-0.07634545454545456,0.3485953198194146
77,Ross,"Point against point, rebellious arm ’gainst arm,",1,2,2,"Act 1, Scene 2",0.268,0.732,0.0,-0.296,neg,-0.14000909090909092,0.13523999999999997,,-0.08761599999999999,-0.0796531609090909,0,1,-0.2727272727272727,-0.19673290043290045,-0.07634545454545456,0.18685453433085308
78,Ross,"Curbing his lavish spirit. And to conclude,",1,2,2,"Act 1, Scene 2",0.0,0.779,0.221,0.1779,pos,-0.09667272727272729,0.13523999999999997,,0.03164841,-0.05899471636363636,1,0,-0.1818181818181818,-0.09396796536796538,-0.07634545454545456,0.18685453433085308
79,Ross,The victory fell on us.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.09667272727272729,0.09477999999999996,,0.0,-0.05899471636363636,0,0,-0.1818181818181818,-0.08814891774891777,-0.07634545454545456,0.17064208742276904
80,Duncan,Great happiness!,1,2,2,"Act 1, Scene 2",0.0,0.0,1.0,0.8398,pos,0.21367272727272724,0.46768,0.5498309667525103,0.70526404,0.11691454727272726,1,0,0.45454545454545453,0.2519536796536796,0.1664545454545454,
81,Ross,"That now Sweno,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.029127272727272727,0.03557999999999998,,0.0,-0.008808443636363633,0,0,-0.09090909090909091,-0.022260606060606064,-0.02185454545454545,0.07955929863944224
82,Ross,"The Norways’ king, craves composition.",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.021545454545454545,0.0,,0.0,0.01943653454545455,0,0,0.0,0.04356450216450215,-0.031281818181818175,0.0
83,Ross,Nor would we deign him burial of his men,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.09192727272727273,0.0,,0.0,0.052890616363636365,0,0,0.1818181818181818,0.12266060606060605,0.06668181818181819,0.0
